no;i;t;y;x;z;e;outlier
1;i_0001;t_01;0.798769672;1.370958447;1.163108948;0.002677671;FALSE
2;i_0001;t_02;0.289887535;-0.564698171;-0.190234644;1.006775105;TRUE
3;i_0001;t_03;1.107034321;0.363128411;-0.289455801;0.455890304;FALSE
4;i_0001;t_04;0.613397384;0.632862605;-0.398845783;0.439275821;FALSE
5;i_0001;t_05;1.5962686;0.404268323;0.709242564;0.91302993;FALSE
6;i_0001;t_06;0.66409562;-0.106124516;-1.622647273;0.841331393;FALSE
7;i_0001;t_07;1.313067586;1.511521997;0.771784455;0.343076258;FALSE
8;i_0001;t_08;-0.533334402;-0.094659038;-1.287974188;-0.428851863;FALSE
9;i_0001;t_09;0.27035486;2.018423714;0.891575881;-1.539195559;FALSE
10;i_0001;t_10;-0.515794117;-0.062714099;-0.177833432;-0.110996451;FALSE
11;i_0002;t_01;0.967577314;1.304869654;1.704404684;0.111367507;FALSE
12;i_0002;t_02;3.100817595;2.286645393;-1.286506115;0.840155003;FALSE
13;i_0002;t_03;-1.543737133;-1.388860701;-0.495561569;-0.569098636;FALSE
14;i_0002;t_04;-1.309118501;-0.278788767;0.215275441;-0.69779529;FALSE
15;i_0002;t_05;1.202541488;-0.133321336;0.290073868;0.930685879;FALSE
16;i_0002;t_06;1.154555474;0.635950398;-1.424320754;0.463509735;FALSE
17;i_0002;t_07;4.785805193;-0.284252921;-0.086606083;5.485382184;TRUE
18;i_0002;t_08;-2.382680335;-2.656455421;-1.548156914;0.157391988;FALSE
19;i_0002;t_09;-2.832889323;-2.440466929;0.543092032;-0.309755698;FALSE
20;i_0002;t_10;1.357050976;1.320113346;-0.511611854;0.252814599;FALSE
21;i_0003;t_01;-1.008700707;-0.306638594;0.364090478;-0.353289247;FALSE
22;i_0003;t_02;-0.429994338;-1.781308434;1.109273563;1.277409915;FALSE
23;i_0003;t_03;1.358852759;-0.171917356;0.178637213;1.01666093;FALSE
24;i_0003;t_04;1.143617108;1.214674699;0.809893694;0.161589871;FALSE
25;i_0003;t_05;2.367612981;1.895193461;-0.094627373;-0.032644407;FALSE
26;i_0003;t_06;0.219220866;-0.430469132;0.035747903;0.494707675;FALSE
27;i_0003;t_07;0.356650925;-0.257269383;0.560462537;0.929357396;FALSE
28;i_0003;t_08;-1.583232227;-1.763163085;0.031393934;-0.036339221;FALSE
29;i_0003;t_09;-0.16761197;0.460097355;-0.323660813;-0.64492961;FALSE
30;i_0003;t_10;-4.864587585;-0.639994876;-1.013110582;-4.108602721;TRUE
31;i_0004;t_01;-0.243593037;0.455450123;1.000166622;-0.501986026;FALSE
32;i_0004;t_02;-0.195239273;0.704837337;1.97405326;-1.125696523;FALSE
33;i_0004;t_03;1.473534537;1.035103522;0.958720904;-0.227393901;FALSE
34;i_0004;t_04;-1.457106042;-0.608926375;1.042596721;-0.767247936;FALSE
35;i_0004;t_05;0.799474427;0.504955123;-0.618742409;-0.362260355;FALSE
36;i_0004;t_06;-1.397672663;-1.717008679;0.111533415;0.012637962;FALSE
37;i_0004;t_07;-0.084259736;-0.784459008;0.104663526;0.863920629;FALSE
38;i_0004;t_08;0.218313605;-0.850907594;0.598506494;0.701235388;FALSE
39;i_0004;t_09;-2.298918689;-2.41420765;-0.315303041;-0.053647056;FALSE
40;i_0004;t_10;0.411379944;0.036122607;-0.799915557;0.339531593;FALSE
41;i_0005;t_01;-0.185473596;0.2059986;-0.139386263;-0.269728262;FALSE
42;i_0005;t_02;0.588896354;-0.361057299;2.814827509;0.649020539;FALSE
43;i_0005;t_03;2.059414408;0.758163236;-0.347179031;0.560113055;FALSE
44;i_0005;t_04;-1.506185748;-0.726704827;0.986583252;-0.773862391;FALSE
45;i_0005;t_05;-0.690077008;-1.368281044;-1.683118249;-0.053888823;FALSE
46;i_0005;t_06;-0.170910786;0.432818026;2.968173885;-0.985740067;FALSE
47;i_0005;t_07;-0.800473326;-0.811393176;-1.466492605;0.099328006;FALSE
48;i_0005;t_08;2.827471682;1.444101262;0.140510307;0.940071408;FALSE
49;i_0005;t_09;-0.350796652;-0.431446203;0.044376675;-0.163599667;FALSE
50;i_0005;t_10;1.194453514;0.655647883;-0.180428666;0.427766686;FALSE
51;i_0006;t_01;0.205464021;0.321925265;-1.643300322;0.286476661;FALSE
52;i_0006;t_02;-0.911833628;-0.783838941;-0.987084154;-0.147733829;FALSE
53;i_0006;t_03;2.380372121;1.57572752;1.109801222;0.344700455;FALSE
54;i_0006;t_04;0.82949417;0.642899306;0.159225486;0.473407366;FALSE
55;i_0006;t_05;-0.343037955;0.089760647;-0.047132465;-0.883697489;FALSE
56;i_0006;t_06;-0.026105632;0.276550747;0.317707755;-0.403473662;FALSE
57;i_0006;t_07;-0.357601173;0.679288816;0.176100927;-0.667287861;FALSE
58;i_0006;t_08;0.644537717;0.089832887;0.166191479;0.392599791;FALSE
59;i_0006;t_09;-2.679840035;-2.993090083;0.781209975;0.350194802;FALSE
60;i_0006;t_10;0.88605989;0.284882954;0.616828186;0.771331964;FALSE
61;i_0007;t_01;-0.931294591;-0.367234643;1.302099284;-0.336819117;FALSE
62;i_0007;t_02;0.893152732;0.185230565;-0.082881095;0.512485951;FALSE
63;i_0007;t_03;1.597771915;0.581823727;0.349331108;0.380306968;FALSE
64;i_0007;t_04;5.480795653;1.399736827;-2.16201344;4.192174253;TRUE
65;i_0007;t_05;0.062037371;-0.727292059;1.338493098;0.16273347;FALSE
66;i_0007;t_06;1.420473549;1.302542632;0.894683231;-0.15858344;FALSE
67;i_0007;t_07;-0.464591893;0.33584812;-0.202921419;-0.606534958;FALSE
68;i_0007;t_08;0.591043928;1.038506099;1.893611926;-0.785264285;FALSE
69;i_0007;t_09;1.123628095;0.920728568;-0.24118017;0.064147207;FALSE
70;i_0007;t_10;-3.185909037;0.720878163;0.352035694;-3.912329247;TRUE
71;i_0008;t_01;-0.073030442;-1.043118939;-1.475305878;0.719046557;FALSE
72;i_0008;t_02;0.601368105;-0.090186387;0.212672537;0.017835504;FALSE
73;i_0008;t_03;-0.897896015;0.623518162;-0.774594236;-2.635338168;TRUE
74;i_0008;t_04;0.052408106;-0.953523358;-0.628952941;0.63876412;FALSE
75;i_0008;t_05;1.055559606;-0.542828815;1.901298086;0.493509688;FALSE
76;i_0008;t_06;7.871040118;0.580996498;1.176456541;6.535246492;TRUE
77;i_0008;t_07;2.959031717;0.768178738;-0.690383338;1.906475262;TRUE
78;i_0008;t_08;1.650275861;0.463767589;0.957006961;0.370423387;FALSE
79;i_0008;t_09;0.953724119;-0.885776297;1.015914927;1.222465326;TRUE
80;i_0008;t_10;-0.347628603;-1.099780899;0.598813823;0.268327477;FALSE
81;i_0009;t_01;1.818589717;1.51270701;0.01211629;0.513980583;FALSE
82;i_0009;t_02;0.306643694;0.257921438;0.27065425;-0.165856915;FALSE
83;i_0009;t_03;1.472970731;0.088440229;0.86096797;0.729746326;FALSE
84;i_0009;t_04;-0.573487943;-0.120896538;-0.380009343;-0.360618934;FALSE
85;i_0009;t_05;0.104751707;-1.194328895;1.557624757;0.653341685;FALSE
86;i_0009;t_06;1.038636101;0.611996898;-0.118425102;0.130981891;FALSE
87;i_0009;t_07;-0.312278346;-0.217139846;1.135846911;0.079623598;FALSE
88;i_0009;t_08;1.166072433;-0.182756706;0.269231902;0.991884069;FALSE
89;i_0009;t_09;1.206758587;0.933346329;-0.658056435;0.115516983;FALSE
90;i_0009;t_10;0.384989878;0.821773111;-0.063275271;-0.461468235;FALSE
91;i_0010;t_01;1.116180704;1.392116376;0.544949697;0.225832376;FALSE
92;i_0010;t_02;-0.824398617;-0.476173923;-0.572591281;-0.269133693;FALSE
93;i_0010;t_03;0.847864288;0.650348561;-0.597399409;-0.163598276;FALSE
94;i_0010;t_04;0.5724862;1.391110456;0.592124557;-0.432981612;FALSE
95;i_0010;t_05;-1.594334293;-1.110788879;0.590941403;-0.835614158;FALSE
96;i_0010;t_06;-0.986626758;-0.860792587;1.092539418;-0.127821312;FALSE
97;i_0010;t_07;-1.140155752;-1.131738681;0.546119556;0.4600152;FALSE
98;i_0010;t_08;-0.722856736;-1.459214;0.923549555;0.673082366;FALSE
99;i_0010;t_09;2.394681055;0.079982553;-0.50646426;2.450473399;TRUE
100;i_0010;t_10;0.755390243;0.65320434;1.664087682;0.371171073;FALSE
101;i_0011;t_01;-0.400492898;1.200965376;0.658908656;-1.214942474;FALSE
102;i_0011;t_02;1.187310925;1.044751087;-0.262016288;0.106398591;FALSE
103;i_0011;t_03;-0.49298681;-1.003208647;-0.456256941;0.033855586;FALSE
104;i_0011;t_04;2.275777809;1.848481902;-1.37198906;0.697686304;FALSE
105;i_0011;t_05;-0.863126876;-0.666773409;0.780781758;-0.66367446;FALSE
106;i_0011;t_06;1.045493555;0.105513812;-1.556532617;0.822740353;FALSE
107;i_0011;t_07;-0.840731023;-0.422255882;1.372745192;-0.065295119;FALSE
108;i_0011;t_08;0.916976247;-0.122350172;-0.276414401;0.860799274;FALSE
109;i_0011;t_09;0.836325844;0.188193035;0.389394145;0.668655458;FALSE
110;i_0011;t_10;0.539416928;0.119160958;-0.946826314;0.573988891;FALSE
111;i_0012;t_01;-0.647664921;-0.025092551;0.831188231;-0.832930441;FALSE
112;i_0012;t_02;0.402126868;0.108072728;1.424473406;-0.338980977;FALSE
113;i_0012;t_03;0.256904547;-0.485435236;-0.232006947;-0.330900339;FALSE
114;i_0012;t_04;-0.292448253;-0.504217131;1.380837703;-0.114714597;FALSE
115;i_0012;t_05;-0.693364628;-1.66109908;0.530105018;-0.096460411;FALSE
116;i_0012;t_06;-0.276646329;-0.382333727;0.47924664;-0.608425861;FALSE
117;i_0012;t_07;-0.534381318;-0.512650258;0.607743004;-0.265424908;FALSE
118;i_0012;t_08;3.069965172;2.701891;-0.709897201;-0.407326844;FALSE
119;i_0012;t_09;-0.249193416;-1.362116231;-0.365234089;0.536571593;FALSE
120;i_0012;t_10;0.724225749;0.137256219;-1.474709431;0.143828581;FALSE
121;i_0013;t_01;-1.896266015;-1.493625067;-1.56056143;0.142617266;FALSE
122;i_0013;t_02;-2.275739221;-1.470435741;0.185930597;-0.682722312;FALSE
123;i_0013;t_03;0.902563178;0.124702386;-1.322858551;0.460236954;FALSE
124;i_0013;t_04;-1.406217978;-0.996639135;-0.159072149;0.019553967;FALSE
125;i_0013;t_05;-0.452569105;-0.001822614;-1.657424545;-0.75932507;FALSE
126;i_0013;t_06;-0.264714873;-0.428258881;1.160753816;0.205047034;FALSE
127;i_0013;t_07;-1.879410821;-0.613671606;0.492863744;-0.753816778;FALSE
128;i_0013;t_08;-2.58439361;-2.024677845;-0.882853056;-0.579500496;FALSE
129;i_0013;t_09;-1.482877793;-1.22474795;0.381223213;-0.07886478;FALSE
130;i_0013;t_10;0.211382224;0.179516441;0.861577872;0.344341119;FALSE
131;i_0014;t_01;0.251180816;0.567620594;-1.643421145;-0.397919142;FALSE
132;i_0014;t_02;0.52003333;-0.492877354;-0.181845746;0.508754272;FALSE
133;i_0014;t_03;1.441476472;6.29E-05;-0.114608585;0.497052173;FALSE
134;i_0014;t_04;1.317757907;1.122889643;0.409391441;-0.002736504;FALSE
135;i_0014;t_05;3.538177457;1.439855743;-0.727517916;1.163005557;FALSE
136;i_0014;t_06;0.284646618;-1.097113768;0.675366586;0.796525834;FALSE
137;i_0014;t_07;0.164759204;-0.11731956;-0.267722712;0.167263624;FALSE
138;i_0014;t_08;1.241297565;1.201498401;-0.578796346;-0.606723145;FALSE
139;i_0014;t_09;-0.019972582;-0.469729581;-1.361708347;0.002284484;FALSE
140;i_0014;t_10;0.907693016;-0.052469485;-2.457758039;0.645900259;FALSE
141;i_0015;t_01;-1.520302856;-0.086107298;-0.467099382;-0.386760278;FALSE
142;i_0015;t_02;-1.375086487;-0.887679018;1.784999805;0.137350764;FALSE
143;i_0015;t_03;0.678072262;-0.444684005;0.669360629;1.307309496;FALSE
144;i_0015;t_04;-0.2709943;-0.029444879;-0.853671954;0.689760456;FALSE
145;i_0015;t_05;-0.981293108;-0.413868849;0.275772341;-0.373825771;FALSE
146;i_0015;t_06;0.462465864;1.113386023;-1.864863459;-0.107240068;FALSE
147;i_0015;t_07;-1.826704686;-0.480992842;0.764611604;-0.331612342;FALSE
148;i_0015;t_08;-0.992699205;-0.433169033;-0.493227828;-0.077137838;FALSE
149;i_0015;t_09;-7.227589826;0.696862577;-1.200897859;-7.243010274;TRUE
150;i_0015;t_10;-1.642431447;-1.056368413;-1.393015886;0.228589368;FALSE
151;i_0016;t_01;-0.436156036;-0.040698475;1.590484878;-0.425679842;FALSE
152;i_0016;t_02;-1.130411169;-1.551544822;-0.368841482;-0.031765675;FALSE
153;i_0016;t_03;2.377101941;1.167169549;-0.024219731;0.316828059;FALSE
154;i_0016;t_04;-0.6116205;-0.273645701;-1.227937454;-0.484322483;FALSE
155;i_0016;t_05;-1.145949176;-0.467845325;-0.279013731;-1.562162926;FALSE
156;i_0016;t_06;-0.493119195;-1.238252328;1.289579593;0.211155663;FALSE
157;i_0016;t_07;-0.395774445;-0.007762034;-1.131784041;-0.45157047;FALSE
158;i_0016;t_08;-5.491872957;-0.800282178;-0.18861796;-5.286856006;TRUE
159;i_0016;t_09;-0.386027752;-0.53349233;1.844203119;-0.248750854;FALSE
160;i_0016;t_10;0.857653159;1.287675246;-0.569936381;-0.693027247;FALSE
161;i_0017;t_01;-1.35844216;-0.17552587;1.565936472;-0.66022052;FALSE
162;i_0017;t_02;-0.949550649;-1.071782384;-0.233203729;0.222250458;FALSE
163;i_0017;t_03;0.921748244;0.163206882;-0.678565864;0.418355081;FALSE
164;i_0017;t_04;-0.657945799;-0.362738416;0.119833478;0.111362983;FALSE
165;i_0017;t_05;0.22292872;0.590013548;-0.178115391;-0.698225851;FALSE
166;i_0017;t_06;1.32677828;1.432421928;0.501784783;-0.086703066;FALSE
167;i_0017;t_07;-1.7139836;-0.992692511;0.018714598;-0.231931097;FALSE
168;i_0017;t_08;0.947098703;0.454650298;-1.224920578;0.450101229;FALSE
169;i_0017;t_09;0.200073564;0.084898059;-0.905670559;0.271878125;FALSE
170;i_0017;t_10;6.215871583;0.895565582;-0.30178409;5.610218892;TRUE
171;i_0018;t_01;-0.586204924;-0.229778139;-0.672594464;-0.254576012;FALSE
172;i_0018;t_02;0.965839425;0.836619068;-1.19404442;-0.191605917;FALSE
173;i_0018;t_03;-6.87155398;-1.745055861;0.328374006;-5.887529396;TRUE
174;i_0018;t_04;2.267031732;1.689458921;0.111659027;0.56329818;FALSE
175;i_0018;t_05;1.653937483;0.864777979;-0.090669618;0.037173486;FALSE
176;i_0018;t_06;-0.795446566;-0.150775989;1.503137825;-1.046574992;FALSE
177;i_0018;t_07;-1.82762653;-1.44900713;0.369617078;-0.310104404;FALSE
178;i_0018;t_08;2.23808752;0.6430087;1.224916191;1.131886648;TRUE
179;i_0018;t_09;0.838786496;0.483193864;-0.961000061;0.091450255;FALSE
180;i_0018;t_10;10.04446704;-0.006355626;-1.712587502;9.919890566;TRUE
181;i_0019;t_01;0.018413371;0.151455893;-0.428461233;0.150320788;FALSE
182;i_0019;t_02;0.041374663;-0.58410897;0.328131494;0.486169896;FALSE
183;i_0019;t_03;1.47399008;0.368806733;1.739130742;0.525664606;FALSE
184;i_0019;t_04;0.440931714;0.29465434;-0.070912502;0.313515281;FALSE
185;i_0019;t_05;0.899852609;-0.279259373;0.187612545;0.608638499;FALSE
186;i_0019;t_06;-2.25764385;-1.336236655;-1.594110971;-1.141799074;FALSE
187;i_0019;t_07;0.064125688;0.700748818;1.660173822;-0.386595598;FALSE
188;i_0019;t_08;0.469458154;0.554196622;-2.473668658;-0.366418104;FALSE
189;i_0019;t_09;-0.600685648;-0.836306593;0.169808066;0.152991103;FALSE
190;i_0019;t_10;-1.011221297;-1.594588162;-1.32835422;0.633947296;FALSE
191;i_0020;t_01;0.615714315;0.204958581;1.363884282;0.471681497;FALSE
192;i_0020;t_02;-0.260180354;-0.345087978;0.339885771;-0.276843661;FALSE
193;i_0020;t_03;1.626669562;0.252611703;0.195739031;0.57210157;FALSE
194;i_0020;t_04;7.929892487;-1.294002465;0.48473506;9.168695311;TRUE
195;i_0020;t_05;0.668520581;-0.959170444;0.039733108;0.834779995;FALSE
196;i_0020;t_06;0.9119799;1.085774854;-0.736603114;-0.61662438;FALSE
197;i_0020;t_07;0.720190388;0.403774905;1.570777273;0.344005467;FALSE
198;i_0020;t_08;1.264202907;0.586487537;1.323736525;0.173598187;FALSE
199;i_0020;t_09;1.670856605;1.815228446;0.872744496;-0.44943923;FALSE
200;i_0020;t_10;0.453001285;0.128821429;0.403401809;0.15232274;FALSE
201;i_0021;t_01;-2.200259832;-2.000929238;1.209504289;-0.19007914;FALSE
202;i_0021;t_02;-6.882413327;0.333777197;-0.19341352;-7.629616117;TRUE
203;i_0021;t_03;1.90899064;1.171325127;-1.907888522;-0.115965085;FALSE
204;i_0021;t_04;1.646163737;2.059539242;-0.498548591;-0.520249454;FALSE
205;i_0021;t_05;-0.343725497;-1.376861598;-0.956086729;0.188550763;FALSE
206;i_0021;t_06;-1.842555191;-1.150855566;0.312810402;-1.18620336;FALSE
207;i_0021;t_07;2.377806664;-0.705821395;-1.376826009;3.059543735;TRUE
208;i_0021;t_08;-0.197929069;-1.054055782;0.462275262;0.300335222;FALSE
209;i_0021;t_09;-0.471083835;-0.645743723;0.456191716;-0.182081809;FALSE
210;i_0021;t_10;0.3054924;-0.185377968;1.121045737;0.267338943;FALSE
211;i_0022;t_01;-0.821843621;-1.201222051;1.238365302;0.141912881;FALSE
212;i_0022;t_02;2.040271325;2.036972167;-0.806468822;-0.656843438;FALSE
213;i_0022;t_03;0.233495751;0.107774745;1.722407843;-0.974626593;FALSE
214;i_0022;t_04;0.014448296;-0.084108101;0.232456692;-0.255034556;FALSE
215;i_0022;t_05;1.437465896;0.495619642;-0.736465124;-0.149456088;FALSE
216;i_0022;t_06;-0.201161574;0.037415186;-1.417595596;-0.979797498;FALSE
217;i_0022;t_07;-0.803145826;-0.132088037;2.089183963;-0.941859115;FALSE
218;i_0022;t_08;1.554787153;1.476787424;0.789552007;-0.724508765;FALSE
219;i_0022;t_09;-0.655229107;-0.21703021;1.298132058;-1.041657597;FALSE
220;i_0022;t_10;-10.29741035;-1.283602204;-0.582104318;-9.484056573;TRUE
221;i_0023;t_01;0.302126756;0.38566789;0.838623395;0.336676911;FALSE
222;i_0023;t_02;-0.342664072;-0.351512874;-1.726147122;0.0063898;FALSE
223;i_0023;t_03;-0.524571399;-0.521796093;-0.82479712;-0.445439311;FALSE
224;i_0023;t_04;-1.095693419;-1.068131201;-0.410382707;0.276530424;FALSE
225;i_0023;t_05;-6.509360813;0.428365903;-3.453356692;-7.371345463;TRUE
226;i_0023;t_06;-0.042122745;-0.174018234;-1.103448521;0.048358347;FALSE
227;i_0023;t_07;0.654413349;0.515667729;0.615092373;0.525627889;FALSE
228;i_0023;t_08;0.349286743;-0.234365277;-1.422485315;0.438827121;FALSE
229;i_0023;t_09;-0.936049597;-0.658503426;-0.410647795;-0.223321276;FALSE
230;i_0023;t_10;1.782236452;1.250236604;-0.161038987;0.719435015;FALSE
231;i_0024;t_01;-0.242404739;-0.271763715;-0.880425973;-0.069141009;FALSE
232;i_0024;t_02;1.66289583;0.947951996;-0.043031903;0.193766803;FALSE
233;i_0024;t_03;1.432922629;-1.20158243;0.338976134;1.673123024;TRUE
234;i_0024;t_04;-0.051897988;-0.466116096;-0.84416833;0.19959272;FALSE
235;i_0024;t_05;0.309719509;-0.269351395;-0.743752272;-0.373265873;FALSE
236;i_0024;t_06;0.285063007;-0.390965408;0.412954191;0.073773243;FALSE
237;i_0024;t_07;2.539738916;1.348707012;-1.392694556;1.059196143;TRUE
238;i_0024;t_08;0.991893447;-0.022764701;1.653138329;0.351115218;FALSE
239;i_0024;t_09;0.518656327;0.244225851;1.522435616;-0.19006266;FALSE
240;i_0024;t_10;-0.26182222;-0.942371708;0.285807799;0.349266625;FALSE
241;i_0025;t_01;-0.461643878;-0.729217277;0.019931631;0.735870911;TRUE
242;i_0025;t_02;0.087068548;0.998068909;-1.452936076;-0.865379896;FALSE
243;i_0025;t_03;1.093251685;1.258481665;-2.325169672;-0.559814519;FALSE
244;i_0025;t_04;1.049327214;1.248863689;1.815975353;0.152635633;FALSE
245;i_0025;t_05;-1.287579613;-1.38063705;-1.847042058;-0.292481844;FALSE
246;i_0025;t_06;1.748071878;2.049960694;2.020440962;-0.337346492;FALSE
247;i_0025;t_07;0.868437351;1.01687283;0.375154337;0.286526256;FALSE
248;i_0025;t_08;-0.276519451;-0.026717464;-0.824088953;-0.34654742;FALSE
249;i_0025;t_09;0.389938136;0.703607779;0.104239341;-0.211365281;FALSE
250;i_0025;t_10;0.043042473;-0.971385229;-1.460175247;1.249942336;FALSE
251;i_0026;t_01;-1.575008791;-1.096156242;-0.102513908;-0.225055195;FALSE
252;i_0026;t_02;0.879205809;0.049050451;0.828205599;0.661275666;FALSE
253;i_0026;t_03;-0.625686933;-1.198495857;-0.174245318;-0.036275772;FALSE
254;i_0026;t_04;0.557874514;0.190018999;0.754012572;0.505527466;FALSE
255;i_0026;t_05;2.114091586;1.2977059;-0.441303511;0.216346249;FALSE
256;i_0026;t_06;-1.370772214;-1.033873723;0.424040198;-0.586856325;FALSE
257;i_0026;t_07;-0.904184655;-0.738440754;0.400816993;0.054717677;FALSE
258;i_0026;t_08;0.524276825;0.046563939;0.318123541;0.166467294;FALSE
259;i_0026;t_09;-1.124398764;-1.01759612;-1.959580556;-0.21899844;FALSE
260;i_0026;t_10;-0.714327725;-0.38328396;0.98074778;-0.310029289;FALSE
261;i_0027;t_01;1.212763453;0.872755412;0.096114092;0.361913195;FALSE
262;i_0027;t_02;0.916517836;0.969545014;1.21470716;-0.453799072;FALSE
263;i_0027;t_03;0.144437149;0.383846665;0.154008496;-1.080386413;FALSE
264;i_0027;t_04;-2.636260868;-1.851555663;1.203932456;-0.878925455;FALSE
265;i_0027;t_05;1.14681504;-0.053996737;0.529176729;0.368880138;FALSE
266;i_0027;t_06;1.507133074;1.064773214;2.172195569;-0.039490176;FALSE
267;i_0027;t_07;1.107798516;0.813195037;0.756933016;0.283172855;FALSE
268;i_0027;t_08;0.504771588;-0.190816474;0.571763962;0.15245027;FALSE
269;i_0027;t_09;-3.129868783;-2.699929809;0.640149537;-0.774026972;FALSE
270;i_0027;t_10;-0.043354381;0.060966639;0.866185456;-0.315198745;FALSE
271;i_0028;t_01;-0.570887274;0.573751697;0.674328439;-0.806382451;FALSE
272;i_0028;t_02;0.010692459;0.04580358;-0.080024807;-0.119531648;FALSE
273;i_0028;t_03;0.682021509;0.15741254;1.174469718;-1.66E-05;FALSE
274;i_0028;t_04;0.50453074;0.431565373;-0.452194963;0.295096484;FALSE
275;i_0028;t_05;1.136387446;-0.396549736;1.535580198;1.017356909;FALSE
276;i_0028;t_06;2.0512937;1.309978226;1.409332498;0.575816806;FALSE
277;i_0028;t_07;-0.823481242;0.4703934;0.550129225;-0.988953898;FALSE
278;i_0028;t_08;-0.924209572;-1.242670271;1.219458706;0.091674273;FALSE
279;i_0028;t_09;0.468239774;1.381575456;0.611933988;-0.941072313;FALSE
280;i_0028;t_10;0.753638089;1.204458937;-0.573897686;-0.345347206;FALSE
281;i_0029;t_01;1.72057284;0.824073964;0.028277033;0.745540878;FALSE
